Pixel_X,Pixel_Y,Latitude,Longitude,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,Red_NIR_Ratio,SWIR_Ratio,Visible_SWIR_Ratio,Red_SWIR_Index,Mn_Score,Mn_Class
0,0,22.01,80.21,0.061155,0.244982,0.234038,0.052928,0.344834,0.392384,0.210862,0.540456,0.241667,0.173826,0.185256,0.119786,0.391892,0.097932,0.305661,0.560834,-0.387102,1.684434,LOW
1,0,22.01,80.2101,0.16718,0.047016,0.344159,0.180039,0.144724,0.327654,0.313376,0.363941,0.065552,0.23033,0.162798,0.392772,0.472583,0.494695,0.831118,0.605761,-0.371383,6.201534,LOW
2,0,22.01,80.2102,0.127472,0.21663,0.083956,0.115072,0.383012,0.070719,0.279275,0.101189,0.081569,0.284267,0.107859,0.286287,0.334208,1.137201,0.856613,0.320758,-0.426588,8.271783,LOW
3,0,22.01,80.2103,0.105215,0.181453,0.338445,0.105836,0.028483,0.339043,0.37639,0.317692,0.280557,0.215276,0.143186,0.326822,0.28116,0.333141,1.162406,0.730749,-0.510762,6.952975,LOW
4,0,22.01,80.2104,0.101631,0.218607,0.333428,0.210826,0.314708,0.21477,0.288428,0.063826,0.489155,0.251598,0.031213,0.044502,0.06944,3.303144,0.640871,4.776583,0.651412,34.733949,MEDIUM
5,0,22.01,80.2105,0.201819,0.063174,0.322996,0.059154,0.395021,0.361862,0.318456,0.496613,0.437433,0.066642,0.164132,0.29129,0.496957,0.119115,0.586148,0.484811,-0.662405,2.000943,LOW
6,0,22.01,80.2106,0.228183,0.290261,0.15978,0.319978,0.196115,0.250091,0.231213,0.237437,0.082577,0.166275,0.144422,0.400716,0.251554,1.347635,1.592966,0.73552,-0.112029,14.99594,LOW
7,0,22.01,80.2107,0.060791,0.06353,0.278709,0.127082,0.239974,0.065831,0.032563,0.447203,0.339463,0.281745,0.034038,0.237154,0.370865,0.284172,0.639461,0.667399,-0.302198,4.723608,LOW
8,0,22.01,80.2108,0.170141,0.25082,0.180338,0.044421,0.253839,0.214294,0.279936,0.321747,0.417308,0.110231,0.100641,0.271569,0.066267,0.138063,4.098074,0.665289,-0.718844,18.957098,LOW
9,0,22.01,80.2109,0.08861,0.022568,0.290559,0.09693,0.101337,0.078904,0.287004,0.355095,0.388894,0.069078,0.192263,0.225986,0.368093,0.272968,0.613937,0.652251,-0.399659,4.199001,LOW
10,0,22.01,80.211,0.242401,0.22146,0.106988,0.139627,0.303998,0.354903,0.39842,0.51019,0.156129,0.187949,0.092708,0.137893,0.259552,0.273677,0.531272,0.620501,0.00625,4.984886,LOW
11,0,22.01,80.2111,0.231566,0.105304,0.271339,0.153055,0.33051,0.218633,0.310658,0.18767,0.499261,0.279685,0.181405,0.271008,0.327821,0.815554,0.826694,0.708706,-0.27815,8.30005,LOW
12,0,22.01,80.2112,0.16625,0.12596,0.073289,0.024089,0.36056,0.412248,0.252125,0.120213,0.15894,0.038116,0.14929,0.337273,0.159581,0.200389,2.113482,0.19599,-0.866675,8.0066,LOW
13,0,22.01,80.2113,0.193128,0.266309,0.116723,0.082027,0.281767,0.083983,0.267619,0.129789,0.482778,0.227079,0.158263,0.422571,0.099211,0.632001,4.259312,0.380906,-0.674881,21.279323,LOW
14,0,22.01,80.2114,0.138485,0.130178,0.160904,0.19631,0.073996,0.186255,0.241454,0.463315,0.216052,0.266148,0.196054,0.074831,0.31916,0.423706,0.234463,0.906652,0.448027,6.57328,LOW
15,0,22.01,80.2115,0.209956,0.169503,0.069437,0.108575,0.060408,0.089849,0.351224,0.132352,0.215794,0.254019,0.167304,0.119782,0.470264,0.820354,0.254711,0.301693,-0.049073,5.082,LOW
