latitude,longitude,Mn_Probability,Mn_Prospectivity,elevation,slope,distance_to_road_km,distance_to_rail_km,distance_to_mine_km,distance_to_power_km,distance_to_processing_km,land_use,protected_area,geological_favorability
22.1234,80.4567,0.91,92,420,8.5,3.2,28.4,12.1,7.8,45.2,barren,0,0.86
22.1278,80.4612,0.32,35,510,18.2,7.5,42.1,25.4,18.2,63.5,cropland,0,0.41
22.1345,80.4701,0.87,88,390,6.4,2.1,31.7,9.8,5.2,38.6,grassland,0,0.82
22.1412,80.4789,0.28,31,620,22.5,14.3,71.2,38.5,29.4,91.3,forest,1,0.35
22.1501,80.4892,0.94,95,405,5.8,1.8,25.3,8.4,4.7,32.5,mining,0,0.91
22.1587,80.4956,0.44,49,470,12.4,5.6,36.8,18.7,12.6,54.2,cropland,0,0.55
22.1654,80.5034,0.89,90,380,7.1,2.8,29.5,11.2,6.4,41.7,barren,0,0.84
22.1723,80.5118,0.36,39,42,24.3,18.7,82.4,41.3,35.1,105.8,forest,1,0.38
22.1811,80.5234,0.93,94,430,4.9,2.4,22.6,7.3,4.1,29.8,mining,0,0.89
22.1905,80.5312,0.3,34,550,16.8,9.2,55.7,29.1,21.5,77.4,cropland,0,0.43
